;STN;YYYYMMDD;HH;DD;FH;FF;FX;T;T10N;TD;SQ;Q;DR;RH;P;VV;N;U;WW;IX;M;R;S;O;Y
0;260;20210701;1;270;30;30;90;131;;125;0;0;9;2;10144;40;8;96;52.0;7;0;1;0;0;0
1;260;20210701;2;280;20;20;50;132;;124;0;0;9;3;10142;57;8;95;81.0;7;0;1;0;0;0
2;260;20210701;3;260;30;30;50;132;;123;0;0;0;-1;10141;61;8;93;23.0;7;0;1;0;0;0
3;260;20210701;4;260;20;10;60;133;;122;0;1;0;0;10142;61;8;93;;5;0;0;0;0;0
4;260;20210701;5;270;20;30;60;131;;127;0;3;0;-1;10143;27;8;97;58.0;7;0;1;0;0;0
5;260;20210701;6;260;30;30;60;136;128.0;129;0;11;3;1;10143;59;8;95;23.0;7;0;1;0;0;0
6;260;20210701;7;280;30;30;70;142;;130;0;23;0;-1;10144;59;8;92;51.0;7;0;1;0;0;0
7;260;20210701;8;280;30;30;60;149;;133;0;42;0;-1;10146;60;8;90;22.0;7;0;1;0;0;0
8;260;20210701;9;280;30;40;80;155;;125;0;52;0;0;10148;63;8;82;2.0;7;0;0;0;0;0
9;260;20210701;10;280;40;40;80;157;;124;0;61;0;0;10149;66;8;80;;5;0;0;0;0;0
10;260;20210701;11;280;40;40;70;164;;124;0;65;0;0;10151;65;8;77;;5;0;0;0;0;0
11;260;20210701;12;280;40;30;80;167;136.0;127;0;79;0;0;10152;64;8;77;2.0;7;0;0;0;0;0
12;260;20210701;13;270;40;50;70;166;;122;0;68;0;0;10155;65;8;75;;5;0;0;0;0;0
13;260;20210701;14;270;40;40;80;165;;118;0;62;0;0;10159;65;8;73;;5;0;0;0;0;0
14;260;20210701;15;280;40;40;80;163;;119;0;58;0;0;10160;67;8;75;;5;0;0;0;0;0
15;260;20210701;16;270;40;40;80;164;;120;0;47;0;0;10161;70;8;75;;5;0;0;0;0;0
16;260;20210701;17;260;40;40;80;162;;121;0;66;0;0;10161;69;8;76;;5;0;0;0;0;0
17;260;20210701;18;270;40;30;80;159;146.0;124;0;32;0;0;10161;65;8;79;;5;0;0;0;0;0
18;260;20210701;19;270;30;30;60;156;;119;3;20;0;0;10162;69;8;78;;5;0;0;0;0;0
19;260;20210701;20;270;30;20;60;152;;121;2;6;0;0;10164;67;8;81;;5;0;0;0;0;0
20;260;20210701;21;240;20;10;40;147;;122;0;0;0;0;10165;67;8;85;;5;0;0;0;0;0
21;260;20210701;22;230;20;20;40;147;;123;0;0;0;0;10165;67;8;85;;5;0;0;0;0;0
22;260;20210701;23;230;20;20;50;148;;125;0;0;0;0;10164;62;8;86;;5;0;0;0;0;0
23;260;20210701;24;210;30;30;50;147;134.0;124;0;0;0;0;10161;63;8;86;;5;0;0;0;0;0
24;260;20210702;1;200;20;20;40;143;;126;0;0;0;0;10160;61;7;89;;5;0;0;0;0;0
25;260;20210702;2;200;20;20;40;144;;124;0;0;0;0;10157;63;8;87;;5;0;0;0;0;0
26;260;20210702;3;200;20;20;40;144;;125;0;0;0;0;10156;62;8;88;;5;0;0;0;0;0
27;260;20210702;4;200;20;10;30;145;;128;0;1;0;0;10158;61;8;89;;5;0;0;0;0;0
28;260;20210702;5;200;20;20;30;146;;127;0;4;0;-1;10159;61;8;88;23.0;7;0;1;0;0;0
29;260;20210702;6;210;20;10;30;143;131.0;136;0;14;0;-1;10160;43;8;95;51.0;7;0;1;0;0;0
30;260;20210702;7;200;20;20;30;152;;138;0;34;0;-1;10163;58;8;91;22.0;7;0;1;0;0;0
31;260;20210702;8;200;20;20;30;153;;144;0;32;0;-1;10166;27;8;94;81.0;7;0;1;0;0;0
32;260;20210702;9;200;20;10;30;157;;150;0;44;8;1;10169;29;8;95;51.0;7;0;1;0;0;0
33;260;20210702;10;210;20;20;40;160;;154;0;43;6;1;10173;50;8;96;23.0;7;0;1;0;0;0
34;260;20210702;11;210;20;30;40;174;;153;0;103;0;0;10176;61;8;87;;5;0;0;0;0;0
35;260;20210702;12;990;20;10;40;180;146.0;146;0;111;0;0;10176;63;8;80;2.0;7;0;0;0;0;0
36;260;20210702;13;210;20;20;50;202;;145;5;224;0;0;10172;74;7;69;;5;0;0;0;0;0
37;260;20210702;14;230;20;20;50;202;;142;3;153;0;0;10172;72;7;68;;5;0;0;0;0;0
38;260;20210702;15;240;20;20;50;217;;143;3;149;0;0;10173;77;5;62;;5;0;0;0;0;0
39;260;20210702;16;250;30;30;50;205;;144;2;110;0;0;10175;68;8;68;;5;0;0;0;0;0
40;260;20210702;17;260;20;20;50;204;;139;1;69;0;0;10174;73;8;66;;5;0;0;0;0;0
41;260;20210702;18;330;10;10;40;204;183.0;147;2;49;0;0;10171;68;4;70;;5;0;0;0;0;0
42;260;20210702;19;320;10;10;30;197;;148;10;43;0;0;10171;72;5;73;;5;0;0;0;0;0
43;260;20210702;20;330;20;20;30;182;;150;3;10;0;0;10175;67;6;81;;5;0;0;0;0;0
44;260;20210702;21;60;20;10;30;153;;143;0;0;0;0;10175;60;5;93;;5;0;0;0;0;0
45;260;20210702;22;50;10;10;20;134;;129;0;0;0;0;10174;57;1;96;10.0;7;0;0;0;0;0
46;260;20210702;23;60;10;10;20;124;;122;0;0;0;0;10172;41;7;98;20.0;7;1;0;0;0;0
47;260;20210702;24;80;10;10;20;116;103.0;114;0;0;0;0;10170;34;1;98;10.0;7;0;0;0;0;0
48;260;20210703;1;100;10;10;20;115;;115;0;0;0;0;10168;2;1;100;34.0;7;1;0;0;0;0
49;260;20210703;2;110;10;10;10;109;;109;0;0;0;0;10168;7;8;100;32.0;7;1;0;0;0;0
50;260;20210703;3;90;10;10;20;109;;106;0;0;0;0;10163;20;8;98;20.0;7;1;0;0;0;0
51;260;20210703;4;70;10;10;20;125;;122;0;5;0;0;10161;31;8;98;10.0;7;0;0;0;0;0
52;260;20210703;5;100;10;10;20;136;;133;2;20;0;0;10161;36;8;98;10.0;7;0;0;0;0;0
53;260;20210703;6;140;20;20;30;168;98.0;148;8;75;0;0;10159;56;8;88;10.0;7;0;0;0;0;0
54;260;20210703;7;110;20;20;40;188;;155;4;84;0;0;10158;57;8;81;10.0;7;0;0;0;0;0
55;260;20210703;8;140;30;30;50;207;;156;10;191;0;0;10156;61;3;72;;5;0;0;0;0;0
56;260;20210703;9;130;30;30;60;221;;152;10;238;0;0;10152;65;1;65;;5;0;0;0;0;0
57;260;20210703;10;120;40;30;60;227;;150;5;224;0;0;10150;73;8;61;;5;0;0;0;0;0
58;260;20210703;11;150;30;30;60;226;;151;0;110;0;0;10147;73;8;62;;5;0;0;0;0;0
59;260;20210703;12;130;40;30;70;229;159.0;160;1;154;0;0;10141;72;8;65;;5;0;0;0;0;0
60;260;20210703;13;150;30;40;60;229;;157;0;83;0;0;10136;76;8;63;;5;0;0;0;0;0
61;260;20210703;14;140;30;40;60;232;;155;0;112;0;0;10133;79;8;61;;5;0;0;0;0;0
62;260;20210703;15;140;30;30;50;232;;162;0;87;0;0;10131;80;8;64;;5;0;0;0;0;0
63;260;20210703;16;130;30;30;60;230;;165;0;92;0;0;10128;80;8;66;;5;0;0;0;0;0
64;260;20210703;17;140;30;30;50;219;;161;0;36;0;0;10124;80;8;69;12.0;7;0;0;0;0;0
65;260;20210703;18;230;30;30;130;184;181.0;175;0;5;5;64;10131;50;8;94;92.0;7;0;1;0;1;0
66;260;20210703;19;170;10;10;40;180;;176;0;6;9;6;10129;34;8;97;58.0;7;0;1;0;1;0
67;260;20210703;20;130;10;10;20;173;;171;0;5;8;7;10129;47;8;98;61.0;7;0;1;0;0;0
68;260;20210703;21;160;10;10;20;170;;167;0;1;0;-1;10130;43;8;98;23.0;7;0;1;0;0;0
69;260;20210703;22;100;10;10;10;168;;165;0;0;0;0;10126;58;8;98;10.0;7;0;0;0;0;0
70;260;20210703;23;0;10;0;10;170;;167;0;0;0;0;10122;42;8;98;10.0;7;0;0;0;0;0
71;260;20210703;24;160;10;10;20;167;164.0;164;0;0;0;-1;10119;44;8;98;81.0;7;0;1;0;0;0
72;260;20210704;1;160;10;10;30;169;;166;0;0;9;9;10116;28;8;98;58.0;7;0;1;0;0;0
73;260;20210704;2;170;10;10;20;170;;167;0;0;6;13;10112;24;8;98;23.0;7;0;1;0;0;0
74;260;20210704;3;190;10;10;30;173;;170;0;0;0;0;10111;40;8;98;10.0;7;0;0;0;0;0
75;260;20210704;4;220;20;20;40;172;;170;0;2;0;0;10112;20;8;98;10.0;7;0;0;0;0;0
76;260;20210704;5;220;10;10;30;174;;171;0;14;0;0;10111;20;8;98;10.0;7;0;0;0;0;0
77;260;20210704;6;240;10;10;30;178;164.0;172;2;39;0;0;10109;30;8;95;10.0;7;0;0;0;0;0
78;260;20210704;7;990;10;10;30;192;;166;4;90;0;0;10107;56;6;84;10.0;7;0;0;0;0;0
79;260;20210704;8;190;10;10;30;198;;160;7;151;0;0;10101;61;7;79;;5;0;0;0;0;0
80;260;20210704;9;180;20;20;30;207;;155;6;196;0;0;10102;75;7;72;;5;0;0;0;0;0
81;260;20210704;10;210;20;20;40;212;;146;5;222;0;0;10097;80;7;65;;5;0;0;0;0;0
82;260;20210704;11;990;10;10;30;225;;148;3;198;0;0;10092;80;7;61;;5;0;0;0;0;0
83;260;20210704;12;230;20;20;40;220;178.0;150;1;159;0;0;10087;82;8;64;;5;0;0;0;0;0
84;260;20210704;13;990;20;10;40;222;;151;0;135;0;0;10081;81;8;64;;5;0;0;0;0;0
85;260;20210704;14;310;10;20;30;222;;144;0;120;0;0;10080;82;8;61;;5;0;0;0;0;0
86;260;20210704;15;280;40;40;80;180;;155;0;23;4;4;10084;63;8;85;92.0;7;0;1;0;1;0
87;260;20210704;16;310;20;20;70;172;;163;0;27;10;29;10080;64;8;94;57.0;7;0;1;0;1;0
88;260;20210704;17;280;10;20;30;183;;164;2;72;7;1;10086;65;8;88;51.0;7;0;1;0;0;0
89;260;20210704;18;260;20;30;50;175;169.0;156;2;53;0;-1;10086;69;8;88;81.0;7;0;1;0;0;0
90;260;20210704;19;260;20;20;50;174;;161;3;24;2;1;10088;65;8;92;23.0;7;0;1;0;0;0
91;260;20210704;20;300;10;10;20;164;;157;2;7;0;0;10087;65;8;95;;5;0;0;0;0;0
92;260;20210704;21;210;10;10;10;147;;144;0;0;0;0;10090;58;3;98;10.0;7;0;0;0;0;0
93;260;20210704;22;150;10;10;20;139;;138;0;0;0;0;10090;1;0;99;34.0;7;1;0;0;0;0
94;260;20210704;23;120;10;10;20;134;;133;0;0;0;0;10085;1;0;99;33.0;7;1;0;0;0;0
95;260;20210704;24;150;20;20;30;146;118.0;143;0;0;0;0;10084;37;5;98;20.0;7;1;0;0;0;0
96;260;20210705;1;160;30;20;60;156;;154;0;0;7;21;10082;50;8;98;82.0;7;0;1;0;0;0
97;260;20210705;2;210;20;20;40;157;;153;0;0;1;1;10079;58;8;97;23.0;7;0;1;0;0;0
98;260;20210705;3;220;30;30;60;153;;145;0;0;2;1;10080;61;8;95;57.0;7;0;1;0;0;0
99;260;20210705;4;190;20;20;60;146;;139;0;1;10;16;10079;60;8;95;61.0;7;0;1;0;0;0
100;260;20210705;5;170;20;20;40;146;;140;0;4;2;2;10077;65;8;96;23.0;7;0;1;0;0;0
101;260;20210705;6;200;30;40;60;146;128.0;133;0;12;0;0;10078;65;8;92;2.0;7;0;0;0;0;0
102;260;20210705;7;200;30;40;60;157;;137;2;64;0;0;10082;64;7;88;;5;0;0;0;0;0
103;260;20210705;8;220;30;40;70;162;;136;1;93;0;0;10082;66;8;84;;5;0;0;0;0;0
104;260;20210705;9;200;40;50;80;175;;135;2;143;0;0;10083;68;8;77;;5;0;0;0;0;0
105;260;20210705;10;200;40;40;70;185;;137;2;180;0;0;10082;72;8;73;;5;0;0;0;0;0
106;260;20210705;11;200;40;40;70;183;;132;1;132;0;0;10083;75;8;72;;5;0;0;0;0;0
107;260;20210705;12;190;50;60;90;180;140.0;131;0;148;0;0;10084;75;8;73;;5;0;0;0;0;0
108;260;20210705;13;190;40;30;90;180;;142;1;167;0;0;10085;75;8;78;;5;0;0;0;0;0
109;260;20210705;14;170;30;30;60;187;;142;3;174;0;-1;10080;75;6;75;23.0;7;0;1;0;0;0
110;260;20210705;15;260;30;30;70;169;;150;0;49;1;1;10081;56;8;88;81.0;7;0;1;0;0;0
111;260;20210705;16;220;10;20;30;176;;147;0;70;0;-1;10078;70;8;82;23.0;7;0;1;0;0;0
112;260;20210705;17;200;20;10;40;170;;143;0;18;0;-1;10078;62;8;84;51.0;7;0;1;0;0;0
113;260;20210705;18;120;20;20;30;175;160.0;151;8;81;3;1;10074;70;8;85;22.0;7;0;1;0;0;0
114;260;20210705;19;120;20;10;30;174;;155;10;41;0;0;10070;70;8;88;;5;0;0;0;0;0
115;260;20210705;20;110;20;20;30;167;;155;3;6;0;0;10068;65;8;92;;5;0;0;0;0;0
116;260;20210705;21;110;20;20;30;165;;154;0;0;0;-1;10065;65;8;93;81.0;7;0;1;0;0;0
117;260;20210705;22;130;30;30;50;167;;151;0;0;0;-1;10058;70;8;90;23.0;7;0;1;0;0;0
118;260;20210705;23;120;30;30;50;165;;152;0;0;1;2;10048;63;8;92;81.0;7;0;1;0;0;0
119;260;20210705;24;140;30;30;60;166;157.0;156;0;0;3;2;10044;63;8;93;23.0;7;0;1;0;0;0
120;260;20210706;1;160;30;30;60;172;;158;0;0;0;0;10036;65;8;91;;5;0;0;0;0;0
121;260;20210706;2;160;30;30;60;173;;160;0;0;4;1;10027;64;8;91;81.0;7;0;1;0;0;0
122;260;20210706;3;140;40;50;60;173;;157;0;0;0;-1;10014;70;7;90;23.0;7;0;1;0;0;0
123;260;20210706;4;140;40;50;80;174;;157;0;2;0;0;10006;70;8;89;;5;0;0;0;0;0
124;260;20210706;5;160;40;50;80;180;;157;2;10;2;1;10012;70;8;86;23.0;7;0;1;0;0;0
125;260;20210706;6;180;50;60;100;188;158.0;158;0;18;0;0;10009;70;8;82;2.0;7;0;0;0;0;0
126;260;20210706;7;190;50;50;90;192;;157;0;41;0;0;10011;75;8;80;;5;0;0;0;0;0
127;260;20210706;8;190;40;50;80;204;;162;2;77;0;0;10013;75;8;77;;5;0;0;0;0;0
128;260;20210706;9;220;80;80;160;200;;120;7;184;0;0;10018;80;8;60;;5;0;0;0;0;0
129;260;20210706;10;200;80;80;150;197;;112;8;212;0;0;10025;81;8;57;;5;0;0;0;0;0
130;260;20210706;11;200;80;100;160;198;;114;2;168;0;0;10031;79;7;58;;5;0;0;0;0;0
131;260;20210706;12;190;80;80;160;196;165.0;112;2;150;0;0;10035;81;8;58;;5;0;0;0;0;0
132;260;20210706;13;200;70;80;130;195;;115;0;76;0;0;10043;80;8;60;;5;0;0;0;0;0
133;260;20210706;14;200;80;70;180;191;;123;2;116;0;0;10052;80;8;64;;5;0;0;0;0;0
134;260;20210706;15;200;60;60;140;176;;133;1;79;2;3;10061;75;8;76;23.0;7;0;1;0;0;0
135;260;20210706;16;200;70;60;150;176;;124;1;98;0;-1;10065;75;8;71;23.0;7;0;1;0;0;0
136;260;20210706;17;190;60;50;120;181;;130;7;110;0;-1;10066;75;6;72;23.0;7;0;1;0;0;0
137;260;20210706;18;220;60;70;120;181;150.0;103;7;74;0;-1;10079;81;5;60;23.0;7;0;1;0;0;0
138;260;20210706;19;220;60;60;130;175;;102;7;33;0;0;10086;82;1;62;;5;0;0;0;0;0
139;260;20210706;20;210;40;40;100;167;;99;3;11;0;0;10093;83;0;64;;5;0;0;0;0;0
140;260;20210706;21;200;40;40;70;158;;100;0;0;0;0;10100;80;0;68;;5;0;0;0;0;0
141;260;20210706;22;200;40;40;70;155;;107;0;0;0;0;10105;75;8;73;;5;0;0;0;0;0
142;260;20210706;23;190;30;30;60;152;;106;0;0;0;0;10107;75;7;73;;5;0;0;0;0;0
143;260;20210706;24;180;30;30;50;154;120.0;106;0;0;0;0;10110;75;8;73;;5;0;0;0;0;0
144;260;20210707;1;170;30;20;50;144;;103;0;0;0;0;10109;75;2;76;;5;0;0;0;0;0
145;260;20210707;2;160;20;20;50;137;;111;0;0;0;0;10109;70;7;84;;5;0;0;0;0;0
146;260;20210707;3;170;30;30;50;144;;118;0;0;0;0;10111;70;8;84;;5;0;0;0;0;0
147;260;20210707;4;170;30;20;50;142;;119;0;3;0;0;10113;70;3;86;;5;0;0;0;0;0
148;260;20210707;5;150;20;30;40;142;;123;8;26;0;0;10117;70;4;87;;5;0;0;0;0;0
149;260;20210707;6;160;30;30;50;160;113.0;132;3;55;0;0;10121;70;5;83;;5;0;0;0;0;0
150;260;20210707;7;170;30;20;60;167;;138;5;81;0;0;10125;70;7;82;;5;0;0;0;0;0
151;260;20210707;8;190;40;40;70;190;;147;8;162;0;0;10129;75;1;75;;5;0;0;0;0;0
152;260;20210707;9;210;50;60;110;191;;132;8;185;0;0;10133;80;7;68;;5;0;0;0;0;0
153;260;20210707;10;210;50;40;110;200;;136;6;206;0;0;10140;79;8;66;;5;0;0;0;0;0
154;260;20210707;11;210;50;50;100;196;;128;3;157;0;0;10143;80;8;65;;5;0;0;0;0;0
155;260;20210707;12;220;50;50;100;214;152.0;138;6;244;0;0;10149;79;7;61;;5;0;0;0;0;0
156;260;20210707;13;220;40;40;90;201;;130;2;123;0;0;10154;81;8;63;;5;0;0;0;0;0
157;260;20210707;14;200;40;40;80;210;;139;1;140;0;0;10156;79;8;63;;5;0;0;0;0;0
158;260;20210707;15;220;30;30;90;211;;132;2;131;0;0;10157;82;8;60;;5;0;0;0;0;0
159;260;20210707;16;230;30;30;60;217;;131;3;122;0;0;10159;81;8;58;;5;0;0;0;0;0
160;260;20210707;17;210;30;40;60;206;;125;1;66;0;0;10161;82;8;59;;5;0;0;0;0;0
161;260;20210707;18;220;20;10;50;205;171.0;135;2;47;0;0;10164;83;8;64;;5;0;0;0;0;0
162;260;20210707;19;320;20;10;40;183;;142;0;18;0;0;10170;75;6;77;;5;0;0;0;0;0
163;260;20210707;20;320;20;10;30;166;;140;0;6;0;0;10175;70;5;84;;5;0;0;0;0;0
164;260;20210707;21;40;10;10;20;140;;134;0;0;0;0;10179;63;0;95;;5;0;0;0;0;0
165;260;20210707;22;0;0;0;10;130;;125;0;0;0;0;10183;62;0;97;;5;0;0;0;0;0
166;260;20210707;23;0;0;0;20;122;;117;0;0;0;0;10186;59;0;97;10.0;7;0;0;0;0;0
167;260;20210707;24;50;10;10;20;117;110.0;112;0;0;0;0;10188;60;1;97;;5;0;0;0;0;0
168;260;20210708;1;50;0;10;10;116;;114;0;0;0;0;10190;6;4;99;34.0;7;1;0;0;0;0
169;260;20210708;2;0;10;0;20;124;;119;0;0;0;0;10191;61;7;97;20.0;7;1;0;0;0;0
170;260;20210708;3;310;10;10;20;118;;115;0;0;0;0;10188;57;5;98;10.0;7;0;0;0;0;0
171;260;20210708;4;100;10;10;20;124;;119;0;2;0;0;10191;61;7;97;;5;0;0;0;0;0
172;260;20210708;5;110;0;10;10;140;;135;0;18;0;0;10193;65;8;97;;5;0;0;0;0;0
173;260;20210708;6;0;10;0;10;158;106.0;135;0;32;0;0;10200;69;8;86;2.0;7;0;0;0;0;0
174;260;20210708;7;990;10;10;20;197;;133;6;107;0;0;10200;78;4;66;;5;0;0;0;0;0
175;260;20210708;8;310;20;10;50;198;;128;4;122;0;0;10204;82;7;63;;5;0;0;0;0;0
176;260;20210708;9;330;20;20;40;203;;135;3;159;0;0;10203;80;8;65;;5;0;0;0;0;0
177;260;20210708;10;340;20;10;40;213;;137;6;244;0;0;10207;81;6;61;;5;0;0;0;0;0
178;260;20210708;11;310;20;20;40;226;;127;8;278;0;0;10207;80;7;53;;5;0;0;0;0;0
179;260;20210708;12;340;20;20;70;222;160.0;138;6;240;0;0;10204;82;7;58;;5;0;0;0;0;0
180;260;20210708;13;300;20;30;60;220;;132;1;125;0;0;10206;81;8;57;;5;0;0;0;0;0
181;260;20210708;14;290;30;30;50;223;;138;2;162;0;0;10205;81;7;58;;5;0;0;0;0;0
182;260;20210708;15;290;30;30;60;219;;140;2;156;0;0;10206;81;8;60;;5;0;0;0;0;0
183;260;20210708;16;300;30;40;70;215;;145;2;108;0;0;10205;80;8;64;;5;0;0;0;0;0
184;260;20210708;17;320;30;30;60;214;;141;4;102;0;0;10207;80;8;63;;5;0;0;0;0;0
185;260;20210708;18;330;30;30;60;209;191.0;138;10;81;0;0;10208;81;8;64;;5;0;0;0;0;0
186;260;20210708;19;330;20;20;50;202;;138;10;43;0;0;10211;80;8;66;;5;0;0;0;0;0
187;260;20210708;20;340;20;20;40;191;;136;3;16;0;0;10218;75;8;70;;5;0;0;0;0;0
188;260;20210708;21;330;20;20;30;181;;133;0;0;0;0;10220;75;8;73;;5;0;0;0;0;0
189;260;20210708;22;300;20;20;40;170;;131;0;0;0;0;10222;75;8;77;;5;0;0;0;0;0
190;260;20210708;23;320;10;10;30;144;;132;0;0;0;0;10224;65;8;92;;5;0;0;0;0;0
191;260;20210708;24;320;10;10;20;128;123.0;124;0;0;0;0;10219;57;0;97;10.0;7;0;0;0;0;0
192;260;20210709;1;80;10;10;10;119;;116;0;0;0;0;10218;50;0;97;10.0;7;0;0;0;0;0
193;260;20210709;2;0;0;0;10;115;;112;0;0;0;0;10219;50;0;98;10.0;7;0;0;0;0;0
194;260;20210709;3;290;10;10;10;109;;106;0;0;0;0;10218;46;0;98;10.0;7;0;0;0;0;0
195;260;20210709;4;0;0;0;10;108;;105;0;2;0;0;10218;18;0;98;20.0;7;1;0;0;0;0
196;260;20210709;5;230;10;10;20;136;;133;8;28;0;0;10219;56;1;98;10.0;7;0;0;0;0;0
197;260;20210709;6;270;10;10;20;169;96.0;140;10;76;0;0;10217;62;0;83;1.0;7;0;0;0;0;0
198;260;20210709;7;280;20;20;40;181;;142;10;129;0;0;10220;67;1;77;;5;0;0;0;0;0
199;260;20210709;8;230;20;30;50;192;;144;10;176;0;0;10221;70;1;73;;5;0;0;0;0;0
200;260;20210709;9;220;30;30;50;200;;148;8;203;0;0;10219;66;6;71;;5;0;0;0;0;0
201;260;20210709;10;210;30;40;70;209;;148;8;250;0;0;10216;69;2;68;;5;0;0;0;0;0
202;260;20210709;11;240;30;30;70;216;;132;9;309;0;0;10214;76;1;58;;5;0;0;0;0;0
203;260;20210709;12;230;40;40;80;221;158.0;132;10;347;0;0;10214;77;3;57;;5;0;0;0;0;0
204;260;20210709;13;260;30;20;70;228;;128;8;279;0;0;10212;80;6;53;;5;0;0;0;0;0
205;260;20210709;14;230;30;30;70;238;;136;10;294;0;0;10209;82;1;52;;5;0;0;0;0;0
206;260;20210709;15;250;40;30;70;220;;134;8;222;0;0;10206;72;4;58;;5;0;0;0;0;0
207;260;20210709;16;310;30;20;60;208;;146;6;153;0;0;10204;68;4;67;;5;0;0;0;0;0
208;260;20210709;17;340;30;30;50;201;;145;0;59;0;0;10202;64;7;69;;5;0;0;0;0;0
209;260;20210709;18;360;20;20;40;199;183.0;148;0;41;0;0;10200;66;8;72;;5;0;0;0;0;0
210;260;20210709;19;320;20;20;40;199;;141;8;35;0;0;10200;68;4;69;;5;0;0;0;0;0
211;260;20210709;20;350;10;10;30;184;;148;3;9;0;0;10203;64;7;79;;5;0;0;0;0;0
212;260;20210709;21;10;10;10;10;158;;144;0;0;0;0;10203;58;1;91;10.0;7;0;0;0;0;0
213;260;20210709;22;310;10;10;20;145;;138;0;0;0;0;10201;50;1;95;10.0;7;0;0;0;0;0
214;260;20210709;23;350;10;10;20;136;;134;0;0;0;0;10200;32;1;98;10.0;7;0;0;0;0;0
215;260;20210709;24;350;10;10;10;132;123.0;129;0;0;0;0;10197;15;5;98;10.0;7;0;0;0;0;0
216;260;20210710;1;310;10;10;20;142;;140;0;0;0;0;10194;33;8;98;10.0;7;0;0;0;0;0
217;260;20210710;2;10;10;10;20;144;;142;0;0;0;0;10189;30;7;98;10.0;7;0;0;0;0;0
218;260;20210710;3;290;10;10;20;141;;138;0;0;0;0;10183;20;6;98;10.0;7;0;0;0;0;0
219;260;20210710;4;320;10;10;20;131;;129;0;2;0;0;10181;2;8;99;34.0;7;1;0;0;0;0
220;260;20210710;5;310;10;10;10;143;;140;0;16;0;0;10180;22;7;98;20.0;7;1;0;0;0;0
221;260;20210710;6;330;10;10;20;164;120.0;145;2;46;0;0;10178;46;8;88;10.0;7;0;0;0;0;0
222;260;20210710;7;990;10;10;20;176;;144;2;82;0;0;10178;57;8;81;10.0;7;0;0;0;0;0
223;260;20210710;8;20;10;10;20;179;;145;1;111;0;0;10179;57;8;80;10.0;7;0;0;0;0;0
224;260;20210710;9;290;10;10;30;190;;137;3;160;0;0;10174;59;8;71;4.0;7;0;0;0;0;0
225;260;20210710;10;990;10;10;30;200;;134;2;173;0;0;10171;63;8;65;;5;0;0;0;0;0
226;260;20210710;11;180;20;20;40;210;;140;3;211;0;0;10168;65;8;64;;5;0;0;0;0;0
227;260;20210710;12;340;10;10;40;215;165.0;132;4;227;0;0;10160;69;8;59;;5;0;0;0;0;0
228;260;20210710;13;990;20;10;40;227;;132;3;197;0;0;10157;71;8;55;;5;0;0;0;0;0
229;260;20210710;14;280;10;10;40;220;;122;0;126;0;0;10155;75;8;53;;5;0;0;0;0;0
230;260;20210710;15;290;10;10;30;217;;141;0;73;0;0;10151;71;8;62;;5;0;0;0;0;0
231;260;20210710;16;320;20;20;30;214;;133;0;83;0;-1;10148;69;8;59;23.0;7;0;1;0;0;0
232;260;20210710;17;300;30;30;60;208;;161;4;86;0;-1;10148;63;8;74;23.0;7;0;1;0;0;0
233;260;20210710;18;320;30;20;50;204;187.0;151;4;70;0;0;10147;62;8;71;2.0;7;0;0;0;0;0
234;260;20210710;19;330;20;20;40;201;;152;7;33;0;0;10150;61;8;73;;5;0;0;0;0;0
235;260;20210710;20;360;20;10;40;186;;154;2;6;0;0;10152;60;8;81;;5;0;0;0;0;0
236;260;20210710;21;20;20;20;40;180;;146;0;0;0;0;10151;62;8;80;;5;0;0;0;0;0
237;260;20210710;22;30;20;10;30;173;;146;0;0;0;0;10156;64;8;84;;5;0;0;0;0;0
238;260;20210710;23;20;20;20;30;174;;147;0;0;0;0;10155;67;8;84;;5;0;0;0;0;0
239;260;20210710;24;340;10;10;20;167;155.0;149;0;0;0;0;10155;64;8;89;;5;0;0;0;0;0
240;260;20210711;1;30;10;10;20;165;;150;0;0;0;0;10155;63;8;90;;5;0;0;0;0;0
241;260;20210711;2;360;10;20;30;172;;150;0;0;0;0;10154;64;8;87;;5;0;0;0;0;0
242;260;20210711;3;0;10;0;10;165;;153;0;0;0;0;10158;60;8;93;;5;0;0;0;0;0
243;260;20210711;4;350;10;10;20;163;;155;0;1;0;-1;10160;57;8;95;23.0;7;0;1;0;0;0
244;260;20210711;5;0;10;0;20;162;;154;0;6;0;0;10156;59;8;94;10.0;7;0;0;0;0;0
245;260;20210711;6;310;10;10;20;173;157.0;157;0;21;0;0;10156;60;8;90;2.0;7;0;0;0;0;0
246;260;20210711;7;290;10;10;10;180;;156;0;36;0;0;10160;62;8;85;;5;0;0;0;0;0
247;260;20210711;8;240;20;20;50;177;;154;0;24;0;0;10167;58;8;86;10.0;7;0;0;0;0;0
248;260;20210711;9;280;20;30;40;186;;158;0;68;0;0;10167;59;8;84;10.0;7;0;0;0;0;0
249;260;20210711;10;320;20;20;50;199;;154;2;157;0;0;10168;63;8;75;;5;0;0;0;0;0
250;260;20210711;11;990;20;10;40;203;;154;3;180;0;0;10169;64;8;73;;5;0;0;0;0;0
251;260;20210711;12;990;10;10;30;224;167.0;163;4;229;0;0;10163;65;5;68;;5;0;0;0;0;0
252;260;20210711;13;220;20;30;60;220;;146;3;177;0;0;10163;70;7;62;;5;0;0;0;0;0
